,tracker,work_start_date,work_start_hour,work_finish_date,work_finish_hour,duration,duration_seconds,ay,hafta,gün,hafta_günü,çeyrek,gün_saati
0,HD_024,2022-01-01,1900-01-01 06:23:00,2022-01-01,1900-01-01 23:59:00,0 days 17:36:00,63360.0,1,52,1,6,1,6
1,HD_022,2022-01-01,1900-01-01 00:30:00,2022-01-01,1900-01-01 23:59:00,0 days 23:29:00,84540.0,1,52,1,6,1,0
2,DD_234,2022-01-01,1900-01-01 00:00:00,2022-01-01,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,52,1,6,1,0
3,HD_023,2022-01-01,1900-01-01 09:25:00,2022-01-01,1900-01-01 23:22:00,0 days 13:57:00,50220.0,1,52,1,6,1,9
4,DD_126,2022-01-01,1900-01-01 00:00:00,2022-01-01,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,52,1,6,1,0
5,DD_126,2022-01-02,1900-01-01 00:02:00,2022-01-02,1900-01-01 23:59:00,0 days 23:57:00,86220.0,1,1,2,0,1,0
6,HD_024,2022-01-02,1900-01-01 00:00:00,2022-01-02,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,1,2,0,1,0
7,DD_234,2022-01-02,1900-01-01 00:00:00,2022-01-02,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,2,0,1,0
8,HD_022,2022-01-02,1900-01-01 00:00:00,2022-01-02,1900-01-01 23:57:00,0 days 23:57:00,86220.0,1,1,2,0,1,0
9,HD_023,2022-01-02,1900-01-01 00:23:00,2022-01-02,1900-01-01 23:53:00,0 days 23:30:00,84600.0,1,1,2,0,1,0
10,DD_234,2022-01-03,1900-01-01 00:00:00,2022-01-03,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,3,1,1,0
11,DD_126,2022-01-03,1900-01-01 00:00:00,2022-01-03,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,3,1,1,0
12,HD_023,2022-01-03,1900-01-01 00:05:00,2022-01-03,1900-01-01 23:59:00,0 days 23:54:00,86040.0,1,1,3,1,1,0
13,HD_022,2022-01-03,1900-01-01 00:02:00,2022-01-03,1900-01-01 23:58:00,0 days 23:56:00,86160.0,1,1,3,1,1,0
14,HD_024,2022-01-03,1900-01-01 00:00:00,2022-01-03,1900-01-01 23:53:00,0 days 23:53:00,85980.0,1,1,3,1,1,0
15,DD_234,2022-01-04,1900-01-01 00:00:00,2022-01-04,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,4,2,1,0
16,HD_024,2022-01-04,1900-01-01 00:17:00,2022-01-04,1900-01-01 23:59:00,0 days 23:42:00,85320.0,1,1,4,2,1,0
17,HD_022,2022-01-04,1900-01-01 00:03:00,2022-01-04,1900-01-01 23:58:00,0 days 23:55:00,86100.0,1,1,4,2,1,0
18,DD_126,2022-01-04,1900-01-01 00:00:00,2022-01-04,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,4,2,1,0
19,HD_023,2022-01-04,1900-01-01 00:00:00,2022-01-04,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,4,2,1,0
20,HD_023,2022-01-05,1900-01-01 00:00:00,2022-01-05,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,5,3,1,0
21,HD_022,2022-01-05,1900-01-01 00:11:00,2022-01-05,1900-01-01 23:58:00,0 days 23:47:00,85620.0,1,1,5,3,1,0
22,DD_126,2022-01-05,1900-01-01 00:00:00,2022-01-05,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,5,3,1,0
23,HD_024,2022-01-05,1900-01-01 00:00:00,2022-01-05,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,5,3,1,0
24,DD_234,2022-01-05,1900-01-01 00:00:00,2022-01-05,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,5,3,1,0
25,HD_022,2022-01-06,1900-01-01 00:00:00,2022-01-06,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,6,4,1,0
26,DD_234,2022-01-06,1900-01-01 00:00:00,2022-01-06,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,6,4,1,0
27,HD_024,2022-01-06,1900-01-01 00:00:00,2022-01-06,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,6,4,1,0
28,HD_023,2022-01-06,1900-01-01 00:00:00,2022-01-06,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,6,4,1,0
29,DD_126,2022-01-06,1900-01-01 00:00:00,2022-01-06,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,6,4,1,0
30,DD_126,2022-01-07,1900-01-01 00:01:00,2022-01-07,1900-01-01 23:59:00,0 days 23:58:00,86280.0,1,1,7,5,1,0
31,HD_023,2022-01-07,1900-01-01 00:00:00,2022-01-07,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,7,5,1,0
32,DD_234,2022-01-07,1900-01-01 00:00:00,2022-01-07,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,7,5,1,0
33,HD_022,2022-01-07,1900-01-01 00:01:00,2022-01-07,1900-01-01 23:59:00,0 days 23:58:00,86280.0,1,1,7,5,1,0
34,HD_024,2022-01-07,1900-01-01 00:02:00,2022-01-07,1900-01-01 23:59:00,0 days 23:57:00,86220.0,1,1,7,5,1,0
35,DD_126,2022-01-08,1900-01-01 00:00:00,2022-01-08,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,8,6,1,0
36,HD_024,2022-01-08,1900-01-01 00:00:00,2022-01-08,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,8,6,1,0
37,HD_023,2022-01-08,1900-01-01 00:00:00,2022-01-08,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,8,6,1,0
38,DD_234,2022-01-08,1900-01-01 00:00:00,2022-01-08,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,1,8,6,1,0
39,HD_022,2022-01-08,1900-01-01 00:04:00,2022-01-08,1900-01-01 23:59:00,0 days 23:55:00,86100.0,1,1,8,6,1,0
40,DD_126,2022-01-09,1900-01-01 00:00:00,2022-01-09,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,9,0,1,0
41,HD_022,2022-01-09,1900-01-01 00:00:00,2022-01-09,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,9,0,1,0
42,DD_234,2022-01-09,1900-01-01 00:00:00,2022-01-09,1900-01-01 21:44:00,0 days 21:44:00,78240.0,1,2,9,0,1,0
43,HD_024,2022-01-09,1900-01-01 00:00:00,2022-01-09,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,9,0,1,0
44,HD_023,2022-01-09,1900-01-01 00:00:00,2022-01-09,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,9,0,1,0
45,HD_022,2022-01-10,1900-01-01 00:00:00,2022-01-10,1900-01-01 23:55:00,0 days 23:55:00,86100.0,1,2,10,1,1,0
46,DD_126,2022-01-10,1900-01-01 00:00:00,2022-01-10,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,10,1,1,0
47,DD_234,2022-01-10,1900-01-01 03:15:00,2022-01-10,1900-01-01 23:59:00,0 days 20:44:00,74640.0,1,2,10,1,1,3
48,HD_024,2022-01-10,1900-01-01 00:00:00,2022-01-10,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,10,1,1,0
49,HD_023,2022-01-10,1900-01-01 00:00:00,2022-01-10,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,10,1,1,0
50,HD_023,2022-01-11,1900-01-01 00:00:00,2022-01-11,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,11,2,1,0
51,HD_022,2022-01-11,1900-01-01 00:07:00,2022-01-11,1900-01-01 23:57:00,0 days 23:50:00,85800.0,1,2,11,2,1,0
52,DD_126,2022-01-11,1900-01-01 00:00:00,2022-01-11,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,11,2,1,0
53,DD_234,2022-01-11,1900-01-01 00:00:00,2022-01-11,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,11,2,1,0
54,HD_024,2022-01-11,1900-01-01 00:00:00,2022-01-11,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,11,2,1,0
55,DD_185,2022-01-11,1900-01-01 21:40:00,2022-01-11,1900-01-01 23:58:00,0 days 02:18:00,8280.0,1,2,11,2,1,21
56,DD_234,2022-01-12,1900-01-01 00:00:00,2022-01-12,1900-01-01 20:59:00,0 days 20:59:00,75540.0,1,2,12,3,1,0
57,DD_185,2022-01-12,1900-01-01 00:03:00,2022-01-12,1900-01-01 23:59:00,0 days 23:56:00,86160.0,1,2,12,3,1,0
58,HD_023,2022-01-12,1900-01-01 00:00:00,2022-01-12,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,12,3,1,0
59,HD_022,2022-01-12,1900-01-01 00:10:00,2022-01-12,1900-01-01 23:58:00,0 days 23:48:00,85680.0,1,2,12,3,1,0
60,DD_126,2022-01-12,1900-01-01 00:00:00,2022-01-12,1900-01-01 13:36:00,0 days 13:36:00,48960.0,1,2,12,3,1,0
61,HD_024,2022-01-12,1900-01-01 00:00:00,2022-01-12,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,12,3,1,0
62,HD_023,2022-01-13,1900-01-01 00:00:00,2022-01-13,1900-01-01 23:57:00,0 days 23:57:00,86220.0,1,2,13,4,1,0
63,DD_185,2022-01-13,1900-01-01 00:00:00,2022-01-13,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,13,4,1,0
64,HD_022,2022-01-13,1900-01-01 00:02:00,2022-01-13,1900-01-01 23:58:00,0 days 23:56:00,86160.0,1,2,13,4,1,0
65,DD_234,2022-01-13,1900-01-01 10:19:00,2022-01-13,1900-01-01 23:59:00,0 days 13:40:00,49200.0,1,2,13,4,1,10
66,DD_126,2022-01-13,1900-01-01 07:18:00,2022-01-13,1900-01-01 23:59:00,0 days 16:41:00,60060.0,1,2,13,4,1,7
67,HD_024,2022-01-13,1900-01-01 00:00:00,2022-01-13,1900-01-01 23:48:00,0 days 23:48:00,85680.0,1,2,13,4,1,0
68,HD_024,2022-01-14,1900-01-01 00:00:00,2022-01-14,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,14,5,1,0
69,DD_185,2022-01-14,1900-01-01 00:00:00,2022-01-14,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,14,5,1,0
70,DD_234,2022-01-14,1900-01-01 00:00:00,2022-01-14,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,14,5,1,0
71,HD_023,2022-01-14,1900-01-01 00:48:00,2022-01-14,1900-01-01 12:22:00,0 days 11:34:00,41640.0,1,2,14,5,1,0
72,HD_022,2022-01-14,1900-01-01 00:00:00,2022-01-14,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,14,5,1,0
73,DD_126,2022-01-14,1900-01-01 00:00:00,2022-01-14,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,14,5,1,0
74,DD_234,2022-01-15,1900-01-01 00:00:00,2022-01-15,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,15,6,1,0
75,DD_126,2022-01-15,1900-01-01 00:00:00,2022-01-15,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,15,6,1,0
76,DD_185,2022-01-15,1900-01-01 00:00:00,2022-01-15,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,2,15,6,1,0
77,HD_024,2022-01-15,1900-01-01 00:00:00,2022-01-15,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,2,15,6,1,0
78,HD_022,2022-01-15,1900-01-01 00:09:00,2022-01-15,1900-01-01 23:59:00,0 days 23:50:00,85800.0,1,2,15,6,1,0
79,DD_185,2022-01-16,1900-01-01 00:00:00,2022-01-16,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,16,0,1,0
80,HD_022,2022-01-16,1900-01-01 00:00:00,2022-01-16,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,16,0,1,0
81,DD_126,2022-01-16,1900-01-01 00:00:00,2022-01-16,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,16,0,1,0
82,HD_024,2022-01-16,1900-01-01 00:00:00,2022-01-16,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,16,0,1,0
83,DD_234,2022-01-16,1900-01-01 00:00:00,2022-01-16,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,16,0,1,0
84,DD_126,2022-01-17,1900-01-01 00:00:00,2022-01-17,1900-01-01 23:53:00,0 days 23:53:00,85980.0,1,3,17,1,1,0
85,DD_234,2022-01-17,1900-01-01 00:00:00,2022-01-17,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,3,17,1,1,0
86,HD_022,2022-01-17,1900-01-01 00:00:00,2022-01-17,1900-01-01 23:52:00,0 days 23:52:00,85920.0,1,3,17,1,1,0
87,HD_024,2022-01-17,1900-01-01 00:00:00,2022-01-17,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,3,17,1,1,0
88,HD_023,2022-01-17,1900-01-01 17:25:00,2022-01-17,1900-01-01 17:25:00,0 days 00:00:00,0.0,1,3,17,1,1,17
89,DD_185,2022-01-17,1900-01-01 00:00:00,2022-01-17,1900-01-01 23:53:00,0 days 23:53:00,85980.0,1,3,17,1,1,0
90,HD_024,2022-01-18,1900-01-01 00:00:00,2022-01-18,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,18,2,1,0
91,DD_126,2022-01-18,1900-01-01 00:03:00,2022-01-18,1900-01-01 23:59:00,0 days 23:56:00,86160.0,1,3,18,2,1,0
92,DD_234,2022-01-18,1900-01-01 00:01:00,2022-01-18,1900-01-01 23:59:00,0 days 23:58:00,86280.0,1,3,18,2,1,0
93,HD_022,2022-01-18,1900-01-01 00:00:00,2022-01-18,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,3,18,2,1,0
94,DD_185,2022-01-18,1900-01-01 00:12:00,2022-01-18,1900-01-01 23:59:00,0 days 23:47:00,85620.0,1,3,18,2,1,0
95,DD_185,2022-01-19,1900-01-01 00:00:00,2022-01-19,1900-01-01 23:52:00,0 days 23:52:00,85920.0,1,3,19,3,1,0
96,DD_234,2022-01-19,1900-01-01 00:00:00,2022-01-19,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,19,3,1,0
97,HD_022,2022-01-19,1900-01-01 00:00:00,2022-01-19,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,19,3,1,0
98,HD_024,2022-01-19,1900-01-01 00:00:00,2022-01-19,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,19,3,1,0
99,DD_126,2022-01-19,1900-01-01 00:00:00,2022-01-19,1900-01-01 23:54:00,0 days 23:54:00,86040.0,1,3,19,3,1,0
100,DD_126,2022-01-20,1900-01-01 00:00:00,2022-01-20,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,3,20,4,1,0
101,DD_185,2022-01-20,1900-01-01 00:03:00,2022-01-20,1900-01-01 23:59:00,0 days 23:56:00,86160.0,1,3,20,4,1,0
