Arıza/Bakım;Bildirim Tarihi;Ekipman Adı;Arıza/Bakım Grubu;Arıza/Bakım Türü;Arıza/Bakım Detayı;Parça Adedi;"Müdahale Başl. 
Tarihi";"Müdahale Bitiş 
Tarihi";Müdahale Başl. Saati;Müdahale Bitiş Saati;Müdahale Süresi (Dk.);Açıklama
Arıza;3.01.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;1;3.01.2022;3.01.2022;06:30;06:45;15;1 tane patlak elek vardı değiştirildi
Bakım;3.01.2022;Pres-1;Mekanik;Rulo Bakımı;Rulo Toplama;;3.01.2022;3.01.2022;08:35;12:30;235;Torna atalyösinde 4 adet rulo toplanıp hazırlandı
Bakım;4.01.2022;Değirmen-1;Mekanik;Elek Bakımı;Çekiç Kontrol;;4.01.2022;4.01.2022;08:30;08:45;15;Değirmen-1 elek ve çekiçler kontrol edildi
Bakım;4.01.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Kontrol;;4.01.2022;4.01.2022;08:45;09:00;15;Değirmen-2 elek ve çekiçler kontrol edildi
Bakım;4.01.2022;Teleskopik Bant-1;Mekanik;Bant Bakımı;Bant Bakımı;;4.01.2022;4.01.2022;12:10;12:15;5;Teleskopik Bant-1 gergi ayarı yapıldı
Bakım;4.01.2022;Teleskopik Bant-2;Mekanik;Bant Bakımı;Bant Bakımı;;4.01.2022;4.01.2022;12:15;12:20;5;Teleskopik Bant-2 gergi ayarı yapıldı
Bakım;4.01.2022;Teleskopik Bant-3;Mekanik;Bant Bakımı;Bant Bakımı;;4.01.2022;4.01.2022;12:20;12:25;5;Teleskopik Bant-3 gergi ayarı yapıldı
Bakım;4.01.2022;Teleskopik Bant-4;Mekanik;Bant Bakımı;Bant Bakımı;;4.01.2022;4.01.2022;12:25;12:30;5;Teleskopik Bant-4 gergi ayarı yapıldı
Arıza;4.01.2022;Teleskopik Bant-2;Mekanik;Bant Arızası;Swich Arızası;;4.01.2022;4.01.2022;23:10;23:20;10;Swich takılı kalmıştı ayarlama yapıldı
Arıza;5.01.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;;5.01.2022;5.01.2022;08:30;08:45;15;1 tane patlak elek vardı değiştirildi
Bakım;6.01.2022;Pres-4;Mekanik;Pres Bakımı;Pres Bakımı;;6.01.2022;6.01.2022;08:30;09:30;60;Pres-4 bakım yapıldı. Disk rulo kasnak kontrol edildi
Bakım;6.01.2022;Expander-1;Mekanik;Expander Bakımı;Expander Bakımı;;6.01.2022;6.01.2022;10:00;11:00;60;Expander-1 bakım yapıldı. Konik taç stop çivatası bakımı yapıldı
Bakım;6.01.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;6.01.2022;6.01.2022;16:30;16:45;15;Elekler 3*4 oldu. Orta köy tarafı 3 oldu
Bakım;6.01.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;6.01.2022;6.01.2022;16:45;17:00;15;Elekler 3*4 oldu. Orta köy tarafı 3 oldu
Arıza;6.01.2022;Paketleme-1;Mekanik;Motor Arızası;Motor Zincir Değişimi;1;6.01.2022;6.01.2022;11:30;12:00;30;Paketleme-1 motor zincirlisi değiştirildi
Bakım;6.01.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;6.01.2022;6.01.2022;18:20;18:30;10;Elekler 5*4 oldu. Kadıköy  tarafı 4 oldu
Bakım;6.01.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;6.01.2022;6.01.2022;18:30;18:45;15;Elekler 5*4 oldu. Kadıköy  tarafı 4 oldu
Arıza;7.01.2022;Sarsak-3;Mekanik;Piston Arızası;Piston Değişimi;1;7.01.2022;7.01.2022;08:30;10:30;120;3 nolu sarsağın piston ve çekvalfi değiştirldi
Bakım;7.01.2022;Pres-Küçük;Mekanik;Pres Bakımı;Pres Bakımı;;7.01.2022;7.01.2022;11:30;16:30;300;Pres-Küçük ayna ve toz çemberinde kaçaklar vardı kaynakla giderildi
Bakım;7.01.2022;Teleskopik Bant-1;Mekanik;Bant Bakımı;Bant Bakımı;;7.01.2022;7.01.2022;15:15;15:30;15;Teleskopik Bant-1 gergi ayarı yapıldı
Bakım;7.01.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Değişimi;;7.01.2022;7.01.2022;15:30;15:45;15;Elekler 4*4 oldu. 
Bakım;7.01.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Değişimi;;7.01.2022;7.01.2022;15:45;16:00;15;Elekler 4*4 oldu. 
Bakım;8.01.2022;Değirmen-1;Mekanik;Çekiç Bakımı;Çekiç Bakımı;;8.01.2022;8.01.2022;08:35;08:50;15;Elekler ve çekiçler kontrol edildi
Bakım;8.01.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Bakımı;;8.01.2022;8.01.2022;08:50;09:10;20;Elekler ve çekiçler kontrol edildi
Bakım;8.01.2022;Teleskopik Bant-3;Mekanik;Bant Bakımı;Bant Bakımı;;8.01.2022;8.01.2022;23:00;23:20;20;Teleskopik Bant-3 gergi ayarı yapıldı
Arıza;9.01.2022;Teleskopik Bant-1;Mekanik;Bant Arızası;Bant Arızası;;9.01.2022;9.01.2022;22:40;23:40;60;Bant çalışmıyordu kabloları yenilendi
Arıza;10.01.2022;Değirmen-1;Mekanik;Elek Arızası;Elek Değişimi;1;10.01.2022;10.01.2022;01:45;02:15;30;1 tane patlak elek vardı değiştirildi
Arıza;10.01.2022;Pres-3;Mekanik;Sigorta Arızası;Sigorta Değişimi;1;10.01.2022;10.01.2022;10:20;11:00;40;Pres-3 sigorta kesmişti yenisi ile değiştirildi
Arıza;10.01.2022;Pres-4;Mekanik;Disk Arızası;Disk Civata değişimi;5;10.01.2022;10.01.2022;08:15;13:15;300;Pres-4 cıvata kesmişti değişitildi. Rulo mili çatlamıştı kaynak yapıldı
Arıza;10.01.2022;Sarsak-3;Mekanik;Basınç Saati Arızası;Basınç Saati Değişimi;1;10.01.2022;10.01.2022;14:00;14:20;20;Sarsak basınç saati patlamıştı değiştirildi
Bakım;10.01.2022;Değirmen-1;Mekanik;Selvo Bakım;Selvo Bakım;;10.01.2022;10.01.2022;14:30;14:50;20;Değirmen selvo kontrolleri yapıldı
Bakım;10.01.2022;Değirmen-2;Mekanik;Selvo Bakım;Selvo Bakım;;10.01.2022;10.01.2022;14:50;15:15;25;Değirmen selvo kontrolleri yapıldı
Arıza;12.01.2022;Paketleme-3;Mekanik;Motor Arızası;Motor Zincir Değişimi;1;12.01.2022;12.01.2022;12:00;12:45;45;Paketleme-3 motor zincirlisi değiştirildi
Arıza;12.01.2022;Pres-4;Mekanik;Elevatör Arızası;Elevatör Üst tambur Değişimi;1;12.01.2022;12.01.2022;08:30;16:00;450;Pres-4 elevatörünün üst tamburu ve redüktörü değiştirildi. Milin bilyaları sıfır takıldı
Arıza;14.01.2022;Pres-1;Mekanik;Rulo Arızası;Rulo Değişimi;2;14.01.2022;14.01.2022;08:15;09:30;75;Pres-1 rulo değişimi yapıldı sıfır rulo takıldı.
Bakım;14.01.2022;Pres-2;Mekanik;Rulo Bakımı;Rulo Toplama;;14.01.2022;14.01.2022;09:00;12:00;180;2 adet sıfır rulo toplandı
Arıza;17.01.2022;Pres-4;Mekanik;Disk Arızası;Disk Civata Değişimi;1;17.01.2022;17.01.2022;08:15;08:45;30;Pres-4 disk civataları kesmişti değiştirldi, ayar yapıldı
Bakım;17.01.2022;Expander-1;Mekanik;Expander Bakımı;Expander Bakımı;;17.01.2022;17.01.2022;08:45;09:00;15;Expander-1 ön gömlek ve konileri kontrol edildi
Bakım;17.01.2022;Expander-4;Mekanik;Expander Bakımı;Expander Bakımı;;17.01.2022;17.01.2022;09:00;09:15;15;Expander-4 ön gömlek ve konileri kontrol edildi
Arıza;17.01.2022;Kondisyonel-1;Mekanik;Ön Mil Yatak Arızası;Ön Mil Yatak Keçe Değişimi;;17.01.2022;17.01.2022;09:20;11:15;115;Kondisyonel-1 ön milin keçeleri değiştirildi Yatağa kaynak yapıldı
Bakım;18.01.2022;Değirmen-1;Mekanik;Çekiç Bakımı;Çekiç Bakımı;;18.01.2022;18.01.2022;19:15;19:40;25;Elekler 3*4 oldu. Vuran taraf 3
Bakım;18.01.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Bakımı;;18.01.2022;18.01.2022;19:40;20:05;25;Elekler 3*4 oldu. Vuran taraf 3
Arıza;19.01.2022;Expander-3;Mekanik;Taç Arızası;Taç Değişimi;1;19.01.2022;19.01.2022;09:00;10:15;75;Expander-3 taç değişimi yapıldı
Arıza;19.01.2022;Expander-3;Mekanik;Koni Arızası;Koni Değişimi;1;19.01.2022;19.01.2022;10:15;11:30;75;Expander-3 koni değişimi yapıldı
Arıza;19.01.2022;Expander-3;Mekanik;Kırıcı Eleği Arızası;Kırıcı Eleği Değişimi;1;19.01.2022;19.01.2022;11:30;12:30;60;Expander-3 kırıcı eleği değişimi yapıldı
Bakım;19.01.2022;Değirmen-1;Mekanik;Değirmen Bakımı;Değirmen Bakımı;;19.01.2022;19.01.2022;13:50;14:30;40;Değirmen çekiçleri rulmanları ve milleri kontrol edildi
Bakım;20.01.2022;Değirmen-2;Mekanik;Çekiç Bakımı;Çekiç Değişimi;354;20.01.2022;20.01.2022;08:15;09:30;75;Çekiçler ve miller komple değiştirildi
Bakım;20.01.2022;Değirmen-1;Mekanik;Çekiç Bakımı;Çekiç Değişimi;354;20.01.2022;20.01.2022;10:45;12:25;100;Çekiçler ve miller komple değiştirildi
Arıza;20.01.2022;Kondisyonel-2;Mekanik;Ön Mil Yatak Arızası;Ön Mil Yatak Keçe Değişimi;;20.01.2022;20.01.2022;14:00;16:00;120;Kondisyonel-2 ön milin keçeleri değiştirildi Yatağa kaynak yapıldı
Arıza;21.01.2022;Kondisyonel-2;Mekanik;Vinas Arızası;Vinas Arızası;;21.01.2022;21.01.2022;11:00;11:45;45;Kondüksiyonel-2 vinas tesisatında kaçak vardı onarıldı
Arıza;21.01.2022;Değirmen-2;Mekanik;Elek Arızası;Elek Değişimi;1;21.01.2022;21.01.2022;08:30;08:45;15;1 tane patlak elek vardı değiştirildi
Arıza;21.01.2022;Pres-4;Mekanik;Ön Ayna Arızası;Ön Ayna Cıvata Değişimi;3;21.01.2022;21.01.2022;10:25;10:50;25;Pres-4 ön ayna civataları kesmişti çıkarıldı yenileri takıldı yarın hepsi değiştirecelek 
Arıza;21.01.2022;Kondisyonel-4;Mekanik;Su Tesisatı Arızası;Su Tesisatı Arızası;;21.01.2022;21.01.2022;09:30;10:00;30;Kondisyonel-4 su tesisatından su gelmiyordu hattın içi temizlendi
Arıza;21.01.2022;Expander;Mekanik;Expander Sıkışması;Expander Sıkışması;;21.01.2022;21.01.2022;21:30;22:40;70;Eski fabrika expander sıkışmıştı stop civataları sökülüp içi boşaltıldı
Arıza;22.01.2022;Pres-4;Mekanik;Ön Ayna Arızası;Ön Ayna Cıvata Değişimi;;22.01.2022;22.01.2022;08:10;09:50;100;Pres-4 ön ayna civataları kesmişti çıkarıldı yenileri takıldı. Hepsi yenilendi civataların. Toz çemberi ayarlandı
Bakım;22.01.2022;Expander;Mekanik;Yön Klepe Bakımı;Yön Klepe Değişimi;;22.01.2022;22.01.2022;10:25;12:20;115;Eski fabrika expaderin yön klepesi değiştirildi
Bakım;23.01.2022;Değirmen-1;Mekanik;Elek Bakımı;Elek Bakımı;;23.01.2022;23.01.2022;23:10;23:20;10;Değirmen-1 elek ve çekiçler kontrol edildi
Bakım;23.01.2022;Değirmen-2;Mekanik;Elek Bakımı;Elek Bakımı;;23.01.2022;23.01.2022;23:20;23:30;10;Değirmen-1 elek ve çekiçler kontrol edildi
Arıza;24.01.2022;Kondisyonel-3;Mekanik;Motor Keçe Arızası;Motor Keçe Değişimi;;24.01.2022;24.01.2022;08:15;08:30;15;Kondüksiyonel-3 motor keçesi değiştirildi
Arıza;24.01.2022;Expander-2;Mekanik;Kırıcı Arıza;Kırıcı Arıza;;24.01.2022;24.01.2022;19:00;20:00;60;Expander-2 kırıcı sıkışmıştı açıldı kopan bıçakları kaynatıldı
Bakım;25.01.2022;Expander-1;Mekanik;Stop Cıvata Bakımı;Stop Cıvata Bakımı;;25.01.2022;25.01.2022;08:10;08:20;10;Expander-1 stop cıvata kontrolleri yapıldı
Bakım;25.01.2022;Expander-2;Mekanik;Stop Cıvata Bakımı;Stop Cıvata Bakımı;;25.01.2022;25.01.2022;08:20;08:30;10;Expander-2 stop cıvata kontrolleri yapıldı
Bakım;25.01.2022;Expander-3;Mekanik;Stop Cıvata Bakımı;Stop Cıvata Bakımı;;25.01.2022;25.01.2022;08:30;08:40;10;Expander-3 stop cıvata kontrolleri yapıldı
Bakım;25.01.2022;Expander-4;Mekanik;Stop Cıvata Bakımı;Stop Cıvata Bakımı;;25.01.2022;25.01.2022;08:40;08:50;10;Expander-4 stop cıvata kontrolleri yapıldı
Arıza;25.01.2022;Expander-2;Mekanik;Kafa Padıl Arızası;Kafa Padıl Değişimi;1;25.01.2022;25.01.2022;09:00;11:00;120;Expander-2 kafa padıl değişimi yapıldı
Arıza;25.01.2022;Expander-2;Mekanik;Taç Arızası;Taç Değişimi;1;25.01.2022;25.01.2022;11:00;13:00;120;Expander-2 taç değişimi yapıldı
Bakım;25.01.2022;Pres Elevatörü-1;Mekanik;Kayış Bakımı;Kayış Bakımı;;25.01.2022;25.01.2022;15:05;15:20;15;Pres Elevatörü-1 kayış ayarı yapılmıştır
Bakım;25.01.2022;Pres Elevatörü-2;Mekanik;Kayış Bakımı;Kayış Bakımı;;25.01.2022;25.01.2022;15:20;15:35;15;Pres Elevatörü-2 kayış ayarı yapılmıştır
Bakım;25.01.2022;Pres Elevatörü-3;Mekanik;Kayış Bakımı;Kayış Bakımı;;25.01.2022;25.01.2022;15:35;15:50;15;Pres Elevatörü-3 kayış ayarı yapılmıştır
Bakım;25.01.2022;Pres Elevatörü-4;Mekanik;Kayış Bakımı;Kayış Bakımı;;25.01.2022;25.01.2022;15:50;16:05;15;Pres Elevatörü-4 kayış ayarı yapılmıştır
Arıza;25.01.2022;Paketleme-4;Mekanik;Motor Arızası;Motor Değişimi;;25.01.2022;25.01.2022;14:30;15:00;30;Paketleme-4 zincirlinin motoru değiştirildi
Arıza;26.01.2022;Pres Eleği-2;Mekanik;Lastik Arızası;Lastik Değişimi;;26.01.2022;26.01.2022;10:00;11:00;60;Pres eleği-2 lastiği patlaktı değiştirildi
Bakım;26.01.2022;Paketleme-4;Mekanik;Zincir Bakımı;Zincir Padıl Değişimi;;26.01.2022;26.01.2022;14:00;17:00;180;Paketleme-4 zicirlisinin padıllarının yarısı değiştirildi
Arıza;27.01.2022;Pres Eleği-4;Mekanik;Elek Arızası;Elek Arızası;;27.01.2022;27.01.2022;08:10;10:15;125;Pres Eleği-4 elek patlaktı tamir edildi ve süpürge değişimi yapıldı
