,Ham madde tedarikçileri,Sipariş Miktarı,İrsaliye Miktarı,Fatura Miktarı,Ham madde ürün adı,Br. Fiyat,Alt Toplam,KDV,Genel Toplam,Sipariş Tarihi,İstenen Teslim Tarihi,Gerçekleşen Teslim Tarihi,En Son İrsaliye Tarihi,Sevk Performansı (Gün),Zamanında,Sipariş Açan
2022-01-01 00:00:00,Formül Hammadde Tic. A.Ş.,113.0,113,113,Melas,3800,429400,77292.0,506692.0,2022-01-01 00:00:00,2022-01-03 00:00:00,2022-01-07 00:00:00,2022-01-07 00:00:00,0,0,Satınalma-Kasım
2022-01-01 01:00:00,Ceyhan Hammadde Tic. A.Ş.,13.0,13,13,Amonyum klorür,890.0,11570.0,2082.6,13652.6,2022-01-01 01:00:00,2022-01-04 01:00:00,2022-01-07 01:00:00,2022-01-07 01:00:00,0,0,Satınalma-Sıddık
2022-01-01 02:00:00,LDK Hammadde Tic. A.Ş.,93.0,93,93,Bisküvit,950,88350,15903.0,104253.0,2022-01-01 02:00:00,2022-01-03 02:00:00,2022-01-03 02:00:00,2022-01-03 02:00:00,0,0,Satınalma-Kasım
2022-01-01 03:00:00,Ruşeym Hammadde Tic. A.Ş.,139.0,139,139,Razmol,1100,152900,27522.0,180422.0,2022-01-01 03:00:00,2022-01-04 03:00:00,2022-01-07 03:00:00,2022-01-07 03:00:00,0,0,Satınalma-Sıddık
2022-01-01 04:00:00,Ruşeym Hammadde Tic. A.Ş.,87.0,87,87,Masarasyon suyu,860,74820,13467.6,88287.6,2022-01-01 04:00:00,2022-01-03 04:00:00,2022-01-06 04:00:00,2022-01-06 04:00:00,0,0,Satınalma-Tahir
2022-01-01 05:00:00,Ruşeym Hammadde Tic. A.Ş.,14.0,14,14,Sodyum bikarbonat,530.0,7420.0,1335.6,8755.6,2022-01-01 05:00:00,2022-01-04 05:00:00,2022-01-08 05:00:00,2022-01-08 05:00:00,0,0,Satınalma-Tahir
2022-01-01 06:00:00,Ceyhan Hammadde Tic. A.Ş.,4.0,4,4,Organik selenyum,925.0,3700.0,666.0,4366.0,2022-01-01 06:00:00,2022-01-03 06:00:00,2022-01-07 06:00:00,2022-01-07 06:00:00,0,0,Satınalma -Süreyya
2022-01-01 07:00:00,Dünya Hammadde Tic. A.Ş.,182.0,182,182,Melas,3800,691600,124488.0,816088.0,2022-01-01 07:00:00,2022-01-04 07:00:00,2022-01-05 07:00:00,2022-01-05 07:00:00,0,0,Satınalma-Tahir
2022-01-01 08:00:00,Uğrakdere Hammadde Tic. A.Ş.,12.0,12,12,Natmin,250.0,3000.0,540.0,3540.0,2022-01-01 08:00:00,2022-01-04 08:00:00,2022-01-06 08:00:00,2022-01-06 08:00:00,0,0,Satınalma-Tahir
2022-01-01 09:00:00,Asrın Hammadde Tic. A.Ş.,13.0,13,13,Kekik aroması,920.0,11960.0,2152.7999999999997,14112.8,2022-01-01 09:00:00,2022-01-04 09:00:00,2022-01-05 09:00:00,2022-01-05 09:00:00,0,0,Satınalma-Kasım
2022-01-01 10:00:00,Salihli Hammadde Tic. A.Ş.,18.0,18,18,Natmin,250.0,4500.0,810.0,5310.0,2022-01-01 10:00:00,2022-01-04 10:00:00,2022-01-05 10:00:00,2022-01-05 10:00:00,0,0,Satınalma-Tahir
2022-01-01 11:00:00,Asrın Hammadde Tic. A.Ş.,116.0,116,116,Fındık küspesi,4300,498800,89784.0,588584.0,2022-01-01 11:00:00,2022-01-03 11:00:00,2022-01-03 11:00:00,2022-01-03 11:00:00,0,0,Satınalma-Tahir
2022-01-01 12:00:00,Ruşeym Hammadde Tic. A.Ş.,168.0,168,168,Buğday,9250,1554000,279720.0,1833720.0,2022-01-01 12:00:00,2022-01-04 12:00:00,2022-01-05 12:00:00,2022-01-05 12:00:00,0,0,Satınalma -Süreyya
2022-01-01 13:00:00,Edirne Hammadde Tic. A.Ş.,6.0,6,6,Vanilya aroması,380.0,2280.0,410.4,2690.4,2022-01-01 13:00:00,2022-01-04 13:00:00,2022-01-05 13:00:00,2022-01-05 13:00:00,0,0,Satınalma-Seyfettin
2022-01-01 14:00:00,Salihli Hammadde Tic. A.Ş.,144.0,144,144,Bisküvit,950,136800,24624.0,161424.0,2022-01-01 14:00:00,2022-01-03 14:00:00,2022-01-05 14:00:00,2022-01-05 14:00:00,0,0,Satınalma-Tahir
2022-01-01 16:00:00,Buhara Hammadde Tic. A.Ş.,18.0,18,18,Natmin,250.0,4500.0,810.0,5310.0,2022-01-01 16:00:00,2022-01-04 16:00:00,2022-01-07 16:00:00,2022-01-07 16:00:00,0,0,Satınalma-Kasım
2022-01-01 17:00:00,Iğdır Hammadde Tic. A.Ş.,15.0,15,15,Organik selenyum,925.0,13875.0,2497.5,16372.5,2022-01-01 17:00:00,2022-01-03 17:00:00,2022-01-06 17:00:00,2022-01-06 17:00:00,0,0,Satınalma-Kasım
2022-01-01 18:00:00,Iğdır Hammadde Tic. A.Ş.,33.0,33,33,Razmol,1100,36300,6534.0,42834.0,2022-01-01 18:00:00,2022-01-04 18:00:00,2022-01-05 18:00:00,2022-01-05 18:00:00,0,0,Satınalma-Kasım
2022-01-01 19:00:00,Nevşehir Hammadde Tic. A.Ş.,9.0,9,9,Tuz,150.0,1350.0,243.0,1593.0,2022-01-01 19:00:00,2022-01-03 19:00:00,2022-01-06 19:00:00,2022-01-06 19:00:00,0,0,Satınalma-Seyfettin
2022-01-01 20:00:00,Salihli Hammadde Tic. A.Ş.,97.0,97,97,Melas,3800,368600,66348.0,434948.0,2022-01-01 20:00:00,2022-01-04 20:00:00,2022-01-07 20:00:00,2022-01-07 20:00:00,0,0,Satınalma-Sıddık
2022-01-01 21:00:00,Panama Hammadde Tic. A.Ş.,11.0,11,11,Organik selenyum,925.0,10175.0,1831.5,12006.5,2022-01-01 21:00:00,2022-01-03 21:00:00,2022-01-05 21:00:00,2022-01-05 21:00:00,0,0,Satınalma -Süreyya
2022-01-01 22:00:00,Dünya Hammadde Tic. A.Ş.,16.0,16,16,Amonyum klorür,890.0,14240.0,2563.2,16803.2,2022-01-01 22:00:00,2022-01-03 22:00:00,2022-01-05 22:00:00,2022-01-05 22:00:00,0,0,Satınalma-Tahir
2022-01-01 23:00:00,Güzel Hammadde Tic. A.Ş.,14.0,14,14,Sodyum bikarbonat,530.0,7420.0,1335.6,8755.6,2022-01-01 23:00:00,2022-01-04 23:00:00,2022-01-06 23:00:00,2022-01-06 23:00:00,0,0,Satınalma-Kasım
