,bayii,sipariş_miktarı,irsaliye_miktarı,fatura_miktarı,ürün_adı,birim_fiyat,alt_top,kdv,genel_toplam,kayıt_tarihi,onay_tarihi,istenen_teslimT,son_irsaliyeT,sevk_performansı,zamanında,kayıt_eden
2022-01-01 00:00:00,Marmara Yem A.Ş.,937.0,937,937,Trend 21 XS,380,356060,64090.799999999996,420150.8,2022-01-01 00:00:00,2022-01-01 00:00:00,2022-01-07 00:00:00,2022-02-03 00:00:00,27,0,Sevkiyat-Onur
2022-01-01 01:00:00,Marmara Yem A.Ş.,1652.0,1652,1652,Trend 21 XS,380,627760,112996.8,740756.8,2022-01-01 01:00:00,2022-01-01 01:00:00,2022-01-06 01:00:00,2022-01-17 01:00:00,11,0,Sevkiyat-Mehmet
2022-01-01 02:00:00,Güney Anadolu Yem A.Ş.,1845.0,1845,1845,Trend 21,410,756450,136161.0,892611.0,2022-01-01 02:00:00,2022-01-01 02:00:00,2022-01-04 02:00:00,2022-01-22 02:00:00,18,0,Sevkiyat-Mehmet
2022-01-01 03:00:00,Karadeniz Yem A.Ş.,1954.0,1954,1954,GRN Yonca Süt,520,1016080,182894.4,1198974.4,2022-01-01 03:00:00,2022-01-01 03:00:00,2022-01-07 03:00:00,2022-01-08 03:00:00,1,0,Sevkiyat-Bekir
2022-01-01 04:00:00,İç Anadolu Yem A.Ş.,485.0,485,485,Trend 21 XS,380,184300,33174.0,217474.0,2022-01-01 04:00:00,2022-01-01 04:00:00,2022-01-04 04:00:00,2022-01-23 04:00:00,19,0,Sevkiyat-Davut
2022-01-01 07:00:00,Doğu Anadolu Yem A.Ş.,919.0,919,919,Toklu Besi,545,500855,90153.9,591008.9,2022-01-01 07:00:00,2022-01-01 07:00:00,2022-01-06 07:00:00,2022-01-21 07:00:00,15,0,Sevkiyat-Davut
2022-01-01 08:00:00,Doğu Anadolu Yem A.Ş.,1669.0,1669,1669,GRN Yonca Süt,520,867880,156218.4,1024098.4,2022-01-01 08:00:00,2022-01-01 08:00:00,2022-01-04 08:00:00,2022-01-13 08:00:00,9,0,Sevkiyat-Mehmet
2022-01-01 09:00:00,Ege Yem A.Ş.,123.0,123,123,Trend X,410,50430,9077.4,59507.4,2022-01-01 09:00:00,2022-01-01 09:00:00,2022-01-05 09:00:00,2022-01-26 09:00:00,21,0,Sevkiyat-Bekir
2022-01-01 10:00:00,Ege Yem A.Ş.,530.0,530,530,Trend Besi,545,288850,51993.0,340843.0,2022-01-01 10:00:00,2022-01-01 10:00:00,2022-01-06 10:00:00,2022-01-27 10:00:00,21,0,Sevkiyat-Ekrem
2022-01-01 11:00:00,Doğu Anadolu Yem A.Ş.,819.0,819,819,Toklu Besi,545,446355,80343.9,526698.9,2022-01-01 11:00:00,2022-01-01 11:00:00,2022-01-04 11:00:00,2022-02-02 11:00:00,29,0,Sevkiyat-Davut
