tracker;day;work_start_date;work_start_hour;work_finish_date;work_finish_hour
Forklift 98 T5;7 August Sunday;07.08.2022;17:28;07.08.2022;23:57
Forklift 98 T5;8 August Monday;08.08.2022;00:03;08.08.2022;23:55
Forklift 98 T5;9 August Tuesday;09.08.2022;00:05;09.08.2022;23:59
Forklift 98 T5;10 August Wednesday;10.08.2022;00:00;10.08.2022;23:59
Forklift 98 T5;11 August Thursday;11.08.2022;00:00;11.08.2022;23:59
Forklift 98 T5;12 August Friday;12.08.2022;00:00;12.08.2022;23:42
Forklift 98 T5;13 August Saturday;13.08.2022;00:23;13.08.2022;23:59
Forklift 98 T5;14 August Sunday;14.08.2022;00:00;14.08.2022;23:59
Forklift 98 T5;15 August Monday;15.08.2022;00:00;15.08.2022;23:59
Forklift 98 T5;16 August Tuesday;16.08.2022;00:00;16.08.2022;23:59
Forklift 98 T5;17 August Wednesday;17.08.2022;00:01;17.08.2022;23:59
Forklift 98 T5;18 August Thursday;18.08.2022;00:00;18.08.2022;23:22
Forklift 98 T5;19 August Friday;19.08.2022;00:04;19.08.2022;07:43
Forklift 98 T5;22 August Monday;22.08.2022;09:09;22.08.2022;14:40
Forklift 98 T5;23 August Tuesday;23.08.2022;09:50;23.08.2022;23:58
Forklift 98 T5;24 August Wednesday;24.08.2022;00:00;24.08.2022;13:32
Forklift 98 T5;25 August Thursday;25.08.2022;15:34;25.08.2022;23:59
Forklift 98 T5;26 August Friday;26.08.2022;00:01;26.08.2022;23:59
Forklift 98 T5;27 August Saturday;27.08.2022;00:02;27.08.2022;23:57
Forklift 98 T5;28 August Sunday;28.08.2022;00:00;28.08.2022;23:59
Forklift 98 T5;29 August Monday;29.08.2022;00:00;29.08.2022;23:59
Forklift 98 T5;30 August Tuesday;30.08.2022;00:00;30.08.2022;23:59
Forklift 98 T5;31 August Wednesday;31.08.2022;00:00;31.08.2022;23:59
Forklift 107 T6;1 August Monday;01.08.2022;00:01;01.08.2022;23:49
Forklift 107 T6;2 August Tuesday;02.08.2022;00:07;02.08.2022;23:59
Forklift 107 T6;3 August Wednesday;03.08.2022;00:04;03.08.2022;23:58
Forklift 107 T6;4 August Thursday;04.08.2022;00:00;04.08.2022;23:59
Forklift 107 T6;5 August Friday;05.08.2022;00:00;05.08.2022;23:59
Forklift 107 T6;6 August Saturday;06.08.2022;00:00;06.08.2022;23:59
Forklift 107 T6;7 August Sunday;07.08.2022;00:00;07.08.2022;23:59
Forklift 107 T6;8 August Monday;08.08.2022;00:00;08.08.2022;23:59
Forklift 107 T6;9 August Tuesday;09.08.2022;00:00;09.08.2022;23:59
Forklift 107 T6;10 August Wednesday;10.08.2022;00:00;10.08.2022;23:59
Forklift 107 T6;11 August Thursday;11.08.2022;00:00;11.08.2022;23:59
Forklift 107 T6;12 August Friday;12.08.2022;00:09;12.08.2022;23:59
Forklift 107 T6;13 August Saturday;13.08.2022;00:00;13.08.2022;23:59
Forklift 107 T6;14 August Sunday;14.08.2022;00:00;14.08.2022;23:59
Forklift 107 T6;15 August Monday;15.08.2022;00:00;15.08.2022;23:59
Forklift 107 T6;16 August Tuesday;16.08.2022;00:00;16.08.2022;23:59
Forklift 107 T6;17 August Wednesday;17.08.2022;00:00;17.08.2022;23:58
